Symbol,Links,Close,Change(%),Last Updated At,Open,High,Low,Volume,Volume Score,Market Cap,Sector,Sub Sector
HDFC,   ,1524.85,0.88,24/05/2017 15:31:08,1519,1541.75,1512.4,2209279,0.81 X,1139732.38,Finance,Finance - Housing
HDFCBANK,   ,1566.75,-0.15,24/05/2017 15:31:09,1569.05,1575.45,1562,866657,0.74 X,369938.57,Banks - Private,Finance - Banks - Private Sector
HDIL,   ,83.85,1.08,24/05/2017 15:31:16,83.25,85.85,82,24016582,1.1 X,3511.29,Construction,Construction and Contracting - Real Estate
HEG,   ,240.55,-7.82,24/05/2017 15:31:25,264,264.95,236.2,48763,0.53 X,959.1,Electronics,Electrodes - Graphite
HEIDELBERG,   ,120.65,-4.55,24/05/2017 15:31:26,124.5,125.9,120,124737,0.38 X,2656.24,Cement,Cement - Major
HERCULES,   ,151.05,-1.66,24/05/2017 15:31:16,153.5,155.2,148.1,28626,0.46 X,241.73,Engineering,Engineering - General
HERITGFOOD,   ,1166.1,-1.17,24/05/2017 15:31:27,1188.75,1188.75,1155,10287,0.61 X,2619.07,Food Processing,Food Processing - Dairy
HEROMOTOCO,   ,3567.6,-0.49,24/05/2017 15:31:08,3585,3612.3,3527.2,255970,0.69 X,71172.38,Auto,Auto - 2 & 3 Wheelers
HESTERBIO,   ,830.05,-0.26,24/05/2017 15:31:31,835,849,821,3445,0.53 X,0.00,Pharmaceuticals,Formulations
HEXATRADEX,   ,18.2,-2.67,24/05/2017 15:31:24,19.9,19.9,18.1,12074,0.6 X,0.00,Trading,Trading
HEXAWARE,   ,245.65,0.06,24/05/2017 15:31:13,246.25,254.3,238.8,1283407,1.16 X,7237.57,Computers,Computers - Software
HFCL,   ,12.9,-1.9,24/05/2017 15:31:23,13.1,13.4,12.8,1179977,0.4 X,1617.48,Telecom,Telecommunications - Equipment
HGS,   ,521.85,-1.63,24/05/2017 15:31:16,530.9,534.95,519.4,21201,0.98 X,1063.99,Computers,Software - Medium / Small
HIGHGROUND,   ,22.7,-2.99,24/05/2017 15:31:20,23.15,23.9,22.5,97112,0.15 X,0.00,NA,NA
HIKAL,   ,206.5,-1.81,24/05/2017 15:31:11,212.8,212.8,206,22673,0.28 X,1706.35,Pharmaceuticals,Pharmaceuticals
HIL,   ,745.1,-2.93,24/05/2017 15:31:25,767.6,777,741,11890,0.47 X,0.00,Cement,Cement - Products/Building Materials
HILTON,   ,22.05,-3.29,24/05/2017 15:31:16,23,23.5,22,22102,0.24 X,27.06,Auto Ancl,Forgings
HIMATSEIDE,   ,318.65,-3.26,24/05/2017 15:31:25,335.7,339.95,314.75,129356,1.84 X,3091.88,Textiles,Textiles - Synthetic/Silk
HINDALCO,   ,187.05,-2.58,24/05/2017 15:31:09,191.95,193.65,185.1,11126687,0.86 X,35460.95,Aluminium,Aluminium
HINDCOMPOS,   ,1935.7,-4.06,24/05/2017 15:31:25,2021.15,2029.45,1930,14324,1.75 X,980.61,Auto Ancl,Auto Ancl - Dr. Trans & Steer - Clutch
HINDCOPPER,   ,62.15,-2.97,24/05/2017 15:31:18,64,64.5,61.75,476098,0.46 X,5754.48,Metals,Metals - Non Ferrous - Copper/Copper Alloys - Prod
HINDMOTORS,   ,8.35,-6.18,24/05/2017 15:31:23,9.1,9.1,8.3,468500,1.26 X,144.58,Auto,Auto - Cars & Jeeps
HINDNATGLS,   ,89.25,-6.98,24/05/2017 15:31:17,99.8,101.5,88,4192,1.63 X,762.16,Glass,Glass - Others
HINDOILEXP,   ,71.55,-4.28,24/05/2017 15:31:25,75.25,76.15,71.1,547050,0.92 X,929.54,Oil Drilling,Oil Drilling And Exploration
HINDPETRO,   ,499.7,0.02,24/05/2017 15:31:09,495,502,493.5,2388231,1.0 X,51404.77,Refineries,Refineries
HINDUJAFO,   ,32.55,-2.25,24/05/2017 15:31:15,33.35,33.45,32.2,5941,0.3 X,94.37,Castings,Castings/Foundry
HINDUJAVEN,   ,456.95,-6.39,24/05/2017 15:31:16,495,495,454.9,8109,1.56 X,909.86,Computers,Computers - Software
HINDUNILVR,   ,1038.05,1.29,24/05/2017 15:31:09,1026.55,1040,1023.5,1991867,1.21 X,232593.14,FMCG,Personal Care
HINDZINC,   ,231.85,-3.4,24/05/2017 15:31:25,243.8,243.8,230.15,2036300,0.87 X,98804.48,Metals,Metals - Non Ferrous - Zinc/Zinc Alloys - Products
HIRECT,   ,90.45,-6.99,24/05/2017 15:31:15,96,96.9,90.1,8611,0.5 X,136.3,Electronics,Electronics - Others
HISARMETAL,   ,43.05,-1.37,24/05/2017 15:31:20,44.7,44.7,43.05,945,0.24 X,0.00,NA,NA
HITECHGEAR,   ,311.45,-3.04,24/05/2017 15:31:27,321.95,324.4,310,14166,1.49 X,584.59,Auto Ancl,Auto Ancl - Gears & Drive
