,0,1,2,3,4,5,6,7,8,9,10
128,128,BEL,Bharat Electronics Limited,Computers - Hardware,Computers - Hardware,EQ,19-Jul-00,1,1,INE263A01024,1
129,129,BEML,BEML Limited,Infrastructure - General,Infrastructure - General,EQ,05-Nov-03,10,1,INE258A01016,10
130,130,BEPL,Bhansali Engineering Polymers Limited,Plastics,Plastics,EQ,21-Mar-05,1,1,INE922A01025,1
131,131,BERGEPAINT,Berger Paints (I) Limited,Paints,Paints,EQ,24-Nov-99,1,1,INE463A01038,1
132,132,BFINVEST,BF Investment Limited,Power - Generation & Distribution,Power - Generation & Distribution,EQ,14-Jan-11,5,1,INE878K01010,5
133,133,BFUTILITIE,BF Utilities Limited,Power,Power,EQ,03-May-07,5,1,INE243D01012,5
134,134,BGRENERGY,BGR Energy Systems Limited,Engineering,Engineering,EQ,03-Jan-08,10,1,INE661I01014,10
135,135,BHAGERIA,Bhageria Industries Limited,Dyes & Pigments,Dyes & Pigments,EQ,02-Mar-16,5,1,INE354C01027,5
136,136,BHANDARI,Bhandari Hosiery Exports Limited,Textiles - Hosiery & Knitwear,Textiles - Hosiery & Knitwear,EQ,30-Jan-17,1,1,INE474E01029,1
137,137,BHARATFORG,Bharat Forge Limited,Diversified,Diversified,EQ,04-Apr-03,2,1,INE465A01025,2
138,138,BHARATGEAR,Bharat Gears Limited,Auto Ancillaries,Auto Ancillaries,EQ,03-Apr-96,10,1,INE561C01019,10
139,139,BHARATRAS,Bharat Rasayan Limited,Agro,Agro,EQ,11-Oct-95,10,1,INE838B01013,10
140,140,BHARATWIRE,Bharat Wire Ropes Limited,,,EQ,01-Apr-16,10,1,INE316L01019,10
141,141,BHARTIARTL,Bharti Airtel Limited,Telecommunications - Service,Telecommunications - Service,EQ,15-Feb-02,5,1,INE397D01024,5
142,142,BHEL,Bharat Heavy Electricals Limited,Engineering - Heavy,Engineering - Heavy,EQ,11-Nov-03,2,1,INE257A01026,2
143,143,BIGBLOC,Bigbloc Construction Limited,,,EQ,02-Sep-16,2,1,INE412U01025,2
144,144,BIL,Bhartiya International Limited,Leather Products,Leather Products,EQ,12-Apr-00,10,1,INE828A01016,10
145,145,BINDALAGRO,Oswal Chemicals & Fertilizers Limited,Fertilisers,Fertilisers,EQ,28-Aug-96,10,1,INE143A01010,10
146,146,BIOCON,Biocon Limited,Pharmaceuticals,Pharmaceuticals,EQ,07-Apr-04,5,1,INE376G01013,5
147,147,BIRLACABLE,Birla Cable Limited,Cables - Power & Others,Cables - Power & Others,EQ,06-Dec-95,10,1,INE800A01015,10
148,148,BIRLACORPN,Birla Corporation Limited,Cement,Cement,EQ,12-Apr-95,10,1,INE340A01012,10
149,149,BLISSGVS,Bliss GVS Pharma Limited,Pharmaceuticals,Pharmaceuticals,EQ,26-Jul-10,1,1,INE416D01022,1
150,150,BLKASHYAP,B. L. Kashyap and Sons Limited,Finance - General,Finance - General,EQ,17-Mar-06,1,1,INE350H01032,1
151,151,BLS,BLS International Services Limited,Miscellaneous,Miscellaneous,EQ,14-Jun-16,1,1,INE153T01027,1
152,152,BLUECOAST,Blue Coast Hotels Limited,Paper,Paper,BE,16-Feb-00,10,1,INE472B01011,10
153,153,BLUEDART,Blue Dart Express Limited,Couriers,Couriers,EQ,12-Dec-02,10,1,INE233B01017,10
154,154,BLUESTARCO,Blue Star Limited,Air Conditioners,Air Conditioners,EQ,15-Jun-00,2,1,INE472A01039,2
155,155,BODALCHEM,Bodal Chemicals Limited,Dyes,Dyes,EQ,22-Aug-11,2,1,INE338D01028,2
156,156,BOMDYEING,Bombay Dyeing & Mfg Company Limited,Petrochem,Petrochem,EQ,26-Apr-95,2,1,INE032A01023,2
157,157,BOSCHLTD,Bosch Limited,Auto Ancillaries,Auto Ancillaries,EQ,12-May-03,10,1,INE323A01026,10
158,158,BPCL,Bharat Petroleum Corporation Limited,Refineries,Refineries,EQ,13-Sep-95,10,1,INE029A01011,10
159,159,BPL,BPL Limited,Consumer Goods - Electronic,Consumer Goods - Electronic,EQ,14-Jun-95,10,1,INE110A01019,10
160,160,BRIGADE,Brigade Enterprises Limited,Construction & Contracting - Real Estate,Construction & Contracting - Real Estate,EQ,31-Dec-07,10,1,INE791I01019,10
161,161,BRITANNIA,Britannia Industries Limited,Food Processing,Food Processing,EQ,05-Nov-98,1,1,INE216A01030,1
162,162,BROOKS,Brooks Laboratories Limited,Pharmaceuticals,Pharmaceuticals,BE,05-Sep-11,10,1,INE650L01011,10
163,163,BSE,BSE Limited,,,EQ,03-Feb-17,2,1,INE118H01025,2
164,164,BSL,BSL Limited,Textiles - Weaving,Textiles - Weaving,EQ,27-Jul-95,10,1,INE594B01012,10
165,165,BURNPUR,Burnpur Cement Limited,Cement,Cement,EQ,03-Jan-08,10,1,INE817H01014,10
166,166,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,Domestic Appliances,Domestic Appliances,EQ,28-Apr-14,10,1,INE295F01017,10
167,167,BYKE,The Byke Hospitality Ltd,Hotels,Hotels,EQ,15-Apr-15,10,1,INE319B01014,10
168,168,CAMLINFINE,Camlin Fine Sciences Limited,Pharmaceuticals,Pharmaceuticals,EQ,20-Jan-15,1,1,INE052I01032,1
169,169,CANBK,Canara Bank,Banks - PSU,Banks - PSU,EQ,23-Dec-02,10,1,INE476A01014,10
170,170,CANFINHOME,Can Fin Homes Limited,Finance - Leasing & Hire Purchase,Finance - Leasing & Hire Purchase,EQ,10-May-95,2,1,INE477A01020,2
171,171,CANTABIL,Cantabil Retail India Limited,Textiles,Textiles,EQ,12-Oct-10,10,1,INE068L01016,10
172,172,CAPLIPOINT,Caplin Point Laboratories Limited,Computers - Software - Training,Computers - Software - Training,EQ,23-Jun-14,2,1,INE475E01026,2
173,173,CAPTRUST,Capital Trust Limited,,,EQ,16-Jan-17,10,1,INE707C01018,10
174,174,CARBORUNIV,Carborundum Universal Limited,Abrasives,Abrasives,EQ,03-Apr-96,1,1,INE120A01034,1
175,175,CAREERP,Career Point Limited,Misc,Misc,EQ,06-Oct-10,10,1,INE521J01018,10
176,176,CARERATING,CARE Ratings Limited,Miscellaneous,Miscellaneous,EQ,26-Dec-12,10,1,INE752H01013,10
177,177,CASTROLIND,Castrol India Limited,Lubricants,Lubricants,EQ,14-Mar-14,5,1,INE172A01027,5
178,178,CCHHL,Country Club Hospitality & Holidays Limited,Steel - Tubes & Pipes,Steel - Tubes & Pipes,BE,03-Feb-15,2,1,INE652F01027,2
179,179,CCL,CCL Products (India) Limited,Tea-Coffee,Tea-Coffee,EQ,07-Jun-04,2,1,INE421D01022,2
180,180,CEATLTD,CEAT Limited,Auto Ancl,Auto Ancl,EQ,01-Feb-08,10,1,INE482A01020,10
181,181,CELEBRITY,Celebrity Fashions Limited,Textiles - Readymade Apparels,Textiles - Readymade Apparels,EQ,12-Jan-06,10,1,INE185H01016,10
182,182,CENTENKA,Century Enka Limited,Textiles,Textiles,EQ,10-May-95,10,1,INE485A01015,10
183,183,CENTRALBK,Central Bank of India,Banks - PSU,Banks - PSU,EQ,21-Aug-07,10,1,INE483A01010,10
184,184,CENTUM,Centum Electronics Limited,Electricals,Electricals,EQ,05-Oct-07,10,1,INE320B01020,10
185,185,CENTURYPLY,Century Plyboards (India) Limited,Consumer Goods,Consumer Goods,EQ,23-Mar-06,1,1,INE348B01021,1
186,186,CENTURYTEX,Century Textiles & Industries Limited,Textiles - General,Textiles - General,EQ,27-Jun-03,10,1,INE055A01016,10
187,187,CERA,Cera Sanitaryware Limited,Ceramics & Granite,Ceramics & Granite,EQ,02-Nov-07,5,1,INE739E01017,5
188,188,CEREBRAINT,Cerebra Integrated Technologies Limited,Computers - Hardware,Computers - Hardware,EQ,26-Jun-13,10,1,INE345B01019,10
189,189,CESC,CESC Limited,Power - Generation & Distribution,Power - Generation & Distribution,EQ,08-Feb-95,1,1,INE486A01021,1
190,190,CGCL,Capri Global Capital Limited,Finance,Finance,EQ,29-Oct-10,2,1,INE180C01026,2
191,191,CGPOWER,CG Power and Industrial Solutions Limited,,,EQ,01-Mar-95,2,1,INE067A01029,2
192,192,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,Fertilisers,Fertilisers,EQ,14-Jun-95,10,1,INE085A01013,10
193,193,CHENNPETRO,Chennai Petroleum Corporation Limited,Refineries,Refineries,EQ,07-Jun-00,10,1,INE178A01016,10
194,194,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Finance,Finance,EQ,15-May-96,2,1,INE121A01024,2
195,195,CIGNITITEC,Cigniti Technologies Limited,Computers,Computers,EQ,13-Oct-14,10,1,INE675C01017,10
196,196,CINELINE,Cineline India Limited,Entertainment,Entertainment,EQ,13-Jun-12,5,1,INE704H01022,5
197,197,CIPLA,Cipla Limited,Pharmaceuticals,Pharmaceuticals,EQ,08-Feb-95,2,1,INE059A01026,2
198,198,CLEDUCATE,CL Educate Limited,Miscellaneous,Miscellaneous,EQ,31-Mar-17,5,1,INE201M01029,5
199,199,CLNINDIA,Clariant Chemicals (India) Limited,Dyes & Pigments,Dyes & Pigments,EQ,14-Jun-95,10,1,INE492A01029,10
200,200,CMICABLES,CMI Limited,Cables - Telephone,Cables - Telephone,EQ,29-Nov-16,10,1,INE981B01011,10
201,201,COALINDIA,Coal India Limited,Mining,Mining,EQ,04-Nov-10,10,1,INE522F01014,10
202,202,COFFEEDAY,Coffee Day Enterprises Limited,Plantations - Tea & Coffee,Plantations - Tea & Coffee,EQ,02-Nov-15,10,1,INE335K01011,10
203,203,COLPAL,Colgate Palmolive (India) Limited,Personal Care,Personal Care,EQ,17-Dec-07,1,1,INE259A01022,1
204,204,COMPINFO,Compuage Infocom Limited,,,EQ,07-Jul-16,2,1,INE070C01037,2
205,205,COMPUSOFT,Compucom Software Limited,Computers - Software Medium & Small,Computers - Software Medium & Small,EQ,02-Mar-12,2,1,INE453B01029,2
206,206,CONCOR,Container Corporation of India Limited,Transport & Logistics,Transport & Logistics,EQ,07-May-97,5,1,INE111A01025,5
207,207,CONSOFINVT,Consolidated Finvest & Holdings Limited,Finance - General,Finance - General,EQ,29-Mar-05,10,1,INE025A01027,10
208,208,CONTROLPR,Control Print Limited,Trading,Trading,EQ,24-Jun-16,10,1,INE663B01015,10
209,209,CORDSCABLE,Cords Cable Industries Limited,Cables,Cables,EQ,13-Feb-08,10,1,INE792I01017,10
210,210,COROMANDEL,Coromandel International Limited,Fertilisers,Fertilisers,EQ,31-May-95,1,1,INE169A01031,1
211,211,COUNCODOS,Country Condo's Limited,Construction,Construction,EQ,22-Jan-09,1,1,INE695B01025,1
212,212,CRISIL,CRISIL Limited,Miscellaneous,Miscellaneous,EQ,28-Jun-95,1,1,INE007A01025,1
213,213,CROMPTON,Crompton Greaves Consumer Electricals Limited,,,EQ,13-May-16,2,1,INE299U01018,2
214,214,CTE,Cambridge Technology Enterprises Limited,Computers,Computers,EQ,07-Feb-07,10,1,INE627H01017,10
