,Ticker,company_name,sector,sub sector,series,date of listing,paid up value,market lot,isin number,face value
256,DTIL,Dhunseri Tea & Industries Limited,Tea-Coffee,Plantations - Tea & Coffee,EQ,20-Jan-15,10,1,INE341R01014,10
257,DUCON,Ducon Infratechnologies Limited,,,EQ,09-Oct-12,1,1,INE741L01018,1
258,DWARKESH,Dwarikesh Sugar Industries Limited,Sugar,Sugar - Others,EQ,31-Dec-04,1,1,INE366A01041,1
259,DYNAMATECH,Dynamatic Technologies Limited,Misc,Hydraulics,EQ,14-Sep-06,10,1,INE221B01012,10
260,EASTSILK,Eastern Silk Industries Limited,Textiles,Textiles - Synthetic/Silk,BE,03-Jul-96,2,1,INE962C01027,2
261,ECLERX,eClerx Services Limited,Services,Business Services,EQ,31-Dec-07,10,1,INE738I01010,10
262,EDELWEISS,Edelweiss Financial Services Limited,Finance,Finance - General,EQ,12-Dec-07,1,1,INE532F01054,1
263,EICHERMOT,Eicher Motors Limited,Auto,Auto - LCVs/HCVs,EQ,07-Sep-04,1,1,INE066A01021,1
264,EIDPARRY,EID Parry India Limited,Sugar,Sugar - Others,EQ,10-May-95,1,1,INE126A01031,1
265,EIHAHOTELS,EIH Associated Hotels Limited,Hotels,Hotels,EQ,08-Apr-08,10,1,INE276C01014,10
266,EIHOTEL,EIH Limited,Hotels,Hotels,EQ,08-Feb-95,2,1,INE230A01023,2
267,EIMCOELECO,Eimco Elecon (India) Limited,Engineering,Engineering - Heavy,EQ,17-Apr-96,10,1,INE158B01016,10
268,EKC,Everest Kanto Cylinder Limited,Packaging,Packaging - Others,EQ,15-Dec-05,2,1,INE184H01027,2
269,ELECON,Elecon Engineering Company Limited,Engineering,Engineering - Heavy,EQ,29-Sep-06,2,1,INE205B01023,2
270,ELECTCAST,Electrosteel Castings Limited,Castings,Castings/Foundry,EQ,20-Jun-03,1,1,INE086A01029,1
271,ELECTHERM,Electrotherm (India) Limited,Engineering,Engineering - General,EQ,20-Aug-07,10,1,INE822G01016,10
272,ELGIEQUIP,Elgi Equipments Limited,Compressors,Compressors,EQ,22-Nov-95,1,1,INE285A01027,1
273,ELGIRUBCO,Elgi Rubber Company Limited,Misc,Miscellaneous,EQ,10-Aug-11,1,1,INE819L01012,1
274,EMAMILTD,Emami Limited,FMCG,Personal Care,EQ,03-Aug-06,1,1,INE548C01032,1
275,EMKAY,Emkay Global Financial Services Limited,Finance,Finance - General,EQ,28-Apr-06,10,1,INE296H01011,10
276,EMMBI,Emmbi Industries Limited,Packaging,Packaging - Metallic,EQ,24-Feb-10,10,1,INE753K01015,10
277,ENDURANCE,Endurance Technologies Limited,,,EQ,19-Oct-16,10,1,INE913H01037,10
278,ENERGYDEV,Energy Development Company Limited,Power,Power - Generation/Distribution,EQ,02-Nov-07,10,1,INE306C01019,10
279,ENGINERSIN,Engineers India Limited,Computers,Project Consultancy/Turnkey,EQ,20-Aug-97,5,1,INE510A01028,5
280,ENIL,Entertainment Network (India) Limited,Entertainment,Entertainment/Multi Media,EQ,15-Feb-06,10,1,INE265F01028,10
281,EQUITAS,Equitas Holdings Limited,,,EQ,21-Apr-16,10,1,INE988K01017,10
282,EROSMEDIA,Eros International Media Limited,Entertainment,Entertainment/Multi Media,BE,06-Oct-10,10,1,INE416L01017,10
283,ESABINDIA,Esab India Limited,Misc,Welding Equipment - Electrodes,EQ,01-Nov-95,10,1,INE284A01012,10
284,ESCORTS,Escorts Kubota Limited,Auto,Auto - Tractors,EQ,01-Mar-95,10,1,INE042A01014,10
285,ESSARSHPNG,Essar Shipping Limited,Shipping,Shipping,EQ,15-Nov-11,10,1,INE122M01019,10
286,ESTER,Ester Industries Limited,Packaging,Metallic and Plastics,EQ,20-Jun-11,5,1,INE778B01029,5
287,EUROTEXIND,Eurotex Industries and Exports Limited,Textiles,Textiles - Spinning - Cotton Blended,EQ,31-Jan-96,10,1,INE022C01012,10
